                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0806,                 7.1585,                 1.6242,                0.60199,                  0.574,                0.60585,                0.36102,                 1.5008,                 2.9065,                 1.3128,               0.070682,              0.0032576,              0.0032576
                      1,                 1.4444,                 2.0822,                  1.129,                0.50813,                0.75664,                0.61304,                0.17722,                 2.4207,                 1.9875,                 1.4121,               0.040617,              0.0065257,              0.0065257
                      2,                 1.6147,                 1.9674,                 1.1823,                0.30037,                 0.5441,                0.33622,                0.08657,                 2.6227,                 5.9803,                 2.8828,               0.010485,              0.0097277,              0.0097277
                      3,                 1.9486,                 1.8487,                 1.3071,                0.22215,                0.65571,                0.25394,                0.08375,                 2.3988,                 17.816,                 2.3145,               0.009703,               0.009703,               0.009703
                      4,                 1.6537,                 1.7375,                 1.1959,                0.23803,                0.60254,                0.36996,                 0.1639,                 1.8327,                 12.056,                 1.4907,               0.009703,               0.009703,               0.009703
                      5,                 1.5915,                 1.6152,                 1.1652,                   0.17,                0.52597,                0.31853,                0.15453,                 1.6812,                 5.5499,                 1.2692,               0.009604,               0.009604,               0.009604
                      6,                 1.5697,                 1.3312,                 1.1329,                0.22693,                0.45671,                0.38155,                0.21123,                 1.6288,                 3.9114,                  1.222,               0.009505,               0.009505,               0.009505
                      7,                 1.3823,                 1.3507,                 1.0689,                0.28836,                0.46144,                0.38939,                0.19056,                 1.7456,                 2.2763,                 1.3781,               0.009406,               0.009406,               0.009406
                      8,                 1.3922,                 1.1983,                 1.0691,                0.44654,                0.57298,                0.48083,                0.25511,                 1.5743,                 1.8753,                 1.2016,               0.009307,               0.009307,               0.009307
                      9,                 1.3609,                 1.1197,                 1.0271,                0.43695,                0.53463,                 0.5388,                0.31045,                 1.6107,                 2.9637,                 1.1116,               0.009208,               0.009208,               0.009208
                     10,                 1.2914,                 1.0309,                 1.0091,                0.70215,                0.61242,                0.68203,                0.41368,                 1.3807,                 1.8763,                 1.0598,               0.009109,               0.009109,               0.009109
                     11,                 1.2215,                 1.0031,                0.99018,                0.64587,                0.68831,                0.73478,                0.39989,                 1.5681,                 1.3229,                 1.0597,                0.00901,                0.00901,                0.00901
                     12,                 1.2185,                0.94924,                0.98278,                0.60241,                0.58009,                0.65575,                0.36279,                 1.4376,                 1.4492,                 1.0846,               0.008911,               0.008911,               0.008911
                     13,                 1.1493,                0.93258,                0.96545,                 0.4072,                0.56396,                0.46651,                0.28393,                 1.2918,                 1.6995,                 1.0237,               0.008812,               0.008812,               0.008812
                     14,                 1.1621,                0.88677,                0.96008,                0.62675,                 0.7013,                  0.644,                0.40165,                 1.1274,                 1.2079,                 1.0164,               0.008713,               0.008713,               0.008713
                     15,                 1.1098,                0.80169,                0.94611,                0.58794,                0.71686,                0.65311,                0.41987,                 1.1093,                 1.4874,                0.99712,               0.008614,               0.008614,               0.008614
                     16,                 1.1069,                  0.776,                  0.921,                0.70928,                 0.6714,                 0.7728,                0.45172,                  1.343,                 1.5091,                  1.003,               0.008515,               0.008515,               0.008515
                     17,                 1.0774,                0.74755,                0.91817,                0.51875,                0.73766,                0.65966,                0.41926,                 1.2929,                 1.7682,                0.99081,               0.008416,               0.008416,               0.008416
                     18,                 1.0353,                  0.716,                 0.9073,                0.53438,                0.75402,                0.69641,                0.44931,                 1.1763,                 1.2712,                 1.0077,               0.008317,               0.008317,               0.008317
                     19,                0.95846,                0.64152,                 0.8987,                0.71866,                0.65491,                0.70162,                0.44586,                 1.2576,                 1.1019,                0.96854,               0.008218,               0.008218,               0.008218
                     20,                0.96487,                0.63379,                0.88953,                 0.6889,                 0.7002,                0.69186,                0.45423,                 1.1584,                 1.0215,                0.94105,               0.008119,               0.008119,               0.008119
                     21,                0.93656,                0.63717,                0.87845,                0.60409,                0.76272,                 0.6471,                0.42137,                 1.2999,                 1.1432,                  1.009,                0.00802,                0.00802,                0.00802
                     22,                0.93333,                0.61086,                 0.8843,                0.65933,                0.71309,                0.71687,                0.47271,                 1.2543,                 1.0413,                 1.0039,               0.007921,               0.007921,               0.007921
                     23,                0.88738,                0.59802,                0.87271,                0.63076,                 0.6652,                0.67972,                0.44191,                  1.238,                 1.0889,                0.98065,               0.007822,               0.007822,               0.007822
                     24,                0.86926,                0.57056,                0.86528,                0.75498,                0.66924,                0.69043,                0.45149,                 1.1971,                 1.0986,                0.98209,               0.007723,               0.007723,               0.007723
                     25,                0.80436,                0.53724,                0.86242,                0.70153,                0.77002,                0.75628,                0.49758,                 1.1871,                0.98021,                0.95784,               0.007624,               0.007624,               0.007624
                     26,                0.79822,                0.55609,                0.85473,                0.62735,                0.80344,                0.73537,                0.52698,                0.89425,                 1.0501,                 0.9268,               0.007525,               0.007525,               0.007525
                     27,                0.79303,                0.53068,                0.84546,                0.71432,                0.78919,                0.73821,                0.51094,                 1.2461,                0.99823,                0.95468,               0.007426,               0.007426,               0.007426
                     28,                0.77504,                0.51019,                 0.8531,                0.81956,                0.73538,                0.77029,                0.50315,                 1.2439,                  1.014,                 0.9661,               0.007327,               0.007327,               0.007327
                     29,                0.74009,                0.51134,                0.84299,                0.72745,                0.69004,                0.73749,                0.52619,                 1.0728,                 0.9608,                0.94593,               0.007228,               0.007228,               0.007228
                     30,                0.71354,                0.47811,                0.83812,                0.70253,                0.72335,                0.76097,                0.53205,                 1.0752,                 1.0663,                0.93734,               0.007129,               0.007129,               0.007129
                     31,                0.68251,                0.45138,                0.83266,                0.64436,                0.76231,                0.70733,                0.49186,                 1.2515,                0.95767,                 0.9448,                0.00703,                0.00703,                0.00703
                     32,                0.67977,                0.43873,                0.83716,                0.74637,                0.75365,                0.77958,                0.52868,                 1.3263,                 1.1228,                0.95606,               0.006931,               0.006931,               0.006931
