                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8985,                 5.9514,                 1.5589,                0.88975,                0.45833,                0.55474,                0.26072,                 1.7885,                 2.0148,                 1.4555,               0.070682,              0.0032576,              0.0032576
                      1,                 1.4595,                 1.7677,                  1.173,                0.73206,                0.36405,                0.24154,                0.13499,                 1.5217,                  3.442,                  1.238,               0.040617,              0.0065257,              0.0065257
                      2,                 1.6711,                 1.8887,                 1.2559,                0.75993,                0.29167,                0.25127,                0.08609,                 2.3172,                 25.956,                 1.8577,               0.010485,              0.0097277,              0.0097277
                      3,                 1.8751,                 2.3818,                 1.2814,                0.19662,                0.48953,                0.41585,                 0.1829,                 2.1291,                 2.9519,                 1.8797,               0.009703,               0.009703,               0.009703
                      4,                 1.7533,                 1.8021,                 1.2526,                0.65075,                0.34848,                0.26299,                0.13528,                 1.7527,                 13.198,                 1.3493,               0.009703,               0.009703,               0.009703
                      5,                 1.6106,                 1.4817,                 1.1783,                0.61398,                0.38158,                0.30185,                0.14346,                 1.8839,                 5.4656,                 1.2819,               0.009604,               0.009604,               0.009604
                      6,                  1.544,                 1.3014,                 1.1329,                0.66478,                0.39773,                0.40279,                0.20093,                 1.8559,                 2.5368,                 1.3588,               0.009505,               0.009505,               0.009505
                      7,                 1.4634,                  1.189,                 1.0999,                0.37799,                0.43994,                0.30371,                0.17892,                 1.4147,                 2.1307,                  1.277,               0.009406,               0.009406,               0.009406
                      8,                 1.4603,                 1.1822,                 1.0759,                0.61203,                0.55773,                0.63692,                0.36101,                 1.4331,                 1.4562,                 1.1077,               0.009307,               0.009307,               0.009307
                      9,                 1.3559,                 1.0589,                 1.0317,                0.60242,                0.68601,                 0.7062,                0.39126,                 1.3863,                 1.2928,                 1.1457,               0.009208,               0.009208,               0.009208
                     10,                 1.2966,                0.99772,                 1.0123,                0.63015,                0.80089,                0.75042,                0.40143,                 1.4317,                 1.3362,                 1.1202,               0.009109,               0.009109,               0.009109
                     11,                 1.2373,                0.91633,                 1.0095,                0.66789,                0.64489,                0.71475,                0.38815,                 1.5382,                 1.2451,                 1.1368,                0.00901,                0.00901,                0.00901
                     12,                 1.2317,                0.85452,                0.98457,                0.64027,                0.67221,                  0.651,                0.40813,                 1.3424,                 1.4355,                 1.1024,               0.008911,               0.008911,               0.008911
                     13,                 1.2105,                 0.8488,                0.98309,                0.72127,                0.67467,                0.63117,                0.32298,                 1.5733,                 1.2118,                 1.1377,               0.008812,               0.008812,               0.008812
                     14,                 1.1795,                0.79315,                0.97263,                0.67482,                0.63129,                0.60766,                0.37304,                 1.3384,                 1.4131,                 1.0815,               0.008713,               0.008713,               0.008713
                     15,                 1.1264,                0.77163,                0.94553,                0.70808,                0.71491,                0.71046,                0.45571,                 1.1813,                 1.3827,                 1.0001,               0.008614,               0.008614,               0.008614
                     16,                 1.0973,                 0.7495,                0.93098,                0.64354,                0.66265,                0.64693,                0.36931,                 1.4083,                 2.1593,                 1.0555,               0.008515,               0.008515,               0.008515
                     17,                 1.0594,                0.70914,                0.92294,                0.78688,                0.68922,                0.70448,                0.44347,                  1.241,                 1.0847,                 1.0093,               0.008416,               0.008416,               0.008416
                     18,                 1.0298,                0.69679,                 0.9119,                 0.6341,                0.52802,                0.58701,                0.40112,                 1.2788,                  1.224,                   1.09,               0.008317,               0.008317,               0.008317
