                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2448,                 5.0717,                 1.7727,                0.00315,                0.91342,                0.28692,                0.10998,                 1.5463,                  3.882,                  1.342,               0.070682,              0.0032576,              0.0032576
                      1,                 1.7453,                 2.8569,                 1.3529,                0.80512,                0.14583,                0.32759,                0.10577,                  2.087,                 3.4674,                  1.464,               0.040617,              0.0065257,              0.0065257
                      2,                 1.8932,                  2.696,                 1.3579,                0.26914,                0.44629,                0.36403,                 0.1315,                 2.0701,                 3.1065,                 1.8199,               0.010485,              0.0097277,              0.0097277
                      3,                 1.8465,                 2.5446,                 1.3839,                0.33817,                0.63865,                0.37176,                0.13678,                 2.2843,                 5.1108,                 1.7317,               0.009703,               0.009703,               0.009703
                      4,                 1.7371,                 2.1804,                 1.3349,                0.59557,                0.45928,                0.42096,                0.15999,                 2.2854,                 6.3985,                 1.8145,               0.009703,               0.009703,               0.009703
                      5,                 1.6224,                 1.9224,                 1.2408,                0.66481,                0.47917,                0.54582,                0.24263,                 1.7014,                 4.0079,                 1.3199,               0.009604,               0.009604,               0.009604
                      6,                 1.5393,                 1.6826,                 1.1977,                0.62588,                0.70047,                 0.7485,                0.34498,                 1.8651,                 1.8723,                 1.2449,               0.009505,               0.009505,               0.009505
                      7,                 1.5185,                 1.3791,                  1.147,                0.49434,                0.77081,                 0.6888,                0.35901,                  1.669,                 2.2206,                 1.1734,               0.009406,               0.009406,               0.009406
                      8,                 1.4892,                 1.2729,                 1.1207,                0.79482,                0.61387,                0.68227,                 0.3826,                 1.3787,                 2.0419,                 1.2128,               0.009307,               0.009307,               0.009307
                      9,                 1.4019,                  1.219,                 1.0762,                0.60175,                0.77528,                 0.7323,                0.40615,                 1.4586,                 1.3412,                 1.2486,               0.009208,               0.009208,               0.009208
                     10,                 1.3278,                 1.0999,                 1.0633,                0.50261,                0.60708,                 0.5688,                 0.3509,                 1.3462,                 1.5352,                 1.1653,               0.009109,               0.009109,               0.009109
                     11,                 1.2871,                 1.0474,                 1.0349,                0.73106,                0.55854,                0.65318,                0.35664,                 1.4127,                 1.6327,                  1.227,                0.00901,                0.00901,                0.00901
                     12,                 1.2644,                 1.0458,                 1.0336,                0.66006,                0.71508,                0.78758,                0.44654,                 1.3707,                 1.1974,                 1.1187,               0.008911,               0.008911,               0.008911
                     13,                 1.2149,                 1.0085,                 1.0268,                0.65152,                0.71902,                0.75222,                0.43358,                 1.5957,                 1.5555,                 1.1505,               0.008812,               0.008812,               0.008812
                     14,                  1.242,                0.93442,                0.98931,                0.64826,                0.55925,                0.66065,                0.40204,                 1.1289,                 1.4449,                 1.0891,               0.008713,               0.008713,               0.008713
                     15,                 1.1384,                0.92859,                 0.9749,                0.70305,                0.67397,                 0.7229,                0.40237,                 1.4641,                 1.0319,                 1.0725,               0.008614,               0.008614,               0.008614
                     16,                 1.1365,                0.86499,                0.96572,                0.72116,                0.60728,                0.71281,                0.42274,                 1.3467,                 1.4704,                 1.1023,               0.008515,               0.008515,               0.008515
                     17,                 1.1391,                0.84542,                0.95909,                0.67362,                0.66444,                0.68346,                0.38932,                 1.2971,                 1.5197,                 1.0701,               0.008416,               0.008416,               0.008416
                     18,                 1.0749,                0.79915,                0.95225,                0.77263,                0.61834,                0.73712,                0.46368,                 1.0587,                 1.1402,                 1.0292,               0.008317,               0.008317,               0.008317
                     19,                 1.0541,                0.77534,                0.93261,                0.70584,                 0.7749,                0.76947,                0.45986,                 1.2319,                 1.0381,                 1.0522,               0.008218,               0.008218,               0.008218
