                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1312,                 5.7233,                 1.6706,                0.44044,                0.59529,                0.49504,                0.27217,                 1.4437,                  2.007,                 1.3003,               0.070682,              0.0032576,              0.0032576
                      1,                 1.6084,                  1.857,                 1.3094,                0.59362,                0.48331,                0.45577,                0.11822,                 2.7856,                 2.4067,                 1.6733,               0.040617,              0.0065257,              0.0065257
                      2,                 1.7325,                 2.2399,                 1.3359,                 0.0829,                0.57008,                0.23064,                0.09924,                  2.098,                 2.8178,                 1.8732,               0.010485,              0.0097277,              0.0097277
                      3,                 1.7796,                 2.1134,                 1.3252,                0.20854,                 0.6016,                0.23798,                0.09498,                 2.1268,                 17.747,                 1.7524,               0.009703,               0.009703,               0.009703
                      4,                 1.7594,                 1.6099,                 1.3049,                0.82403,                0.29167,                0.28035,                0.11746,                 1.9284,                  6.316,                 1.5191,               0.009703,               0.009703,               0.009703
                      5,                 1.5411,                 1.4196,                  1.224,                0.36081,                 0.6779,                0.44714,                0.18162,                 2.0312,                 3.9659,                 1.3612,               0.009604,               0.009604,               0.009604
                      6,                 1.5463,                  1.224,                  1.164,                0.53578,                0.54155,                0.50825,                0.28573,                 1.4379,                  2.167,                 1.1837,               0.009505,               0.009505,               0.009505
                      7,                 1.4313,                 1.1114,                 1.0994,                0.56814,                0.50203,                0.55752,                0.29737,                 1.4709,                 1.5495,                 1.2039,               0.009406,               0.009406,               0.009406
                      8,                 1.3639,                 1.0147,                 1.0663,                 0.6447,                0.74756,                0.75714,                0.39072,                 1.6338,                 1.2743,                 1.1201,               0.009307,               0.009307,               0.009307
                      9,                 1.3188,                0.95228,                 1.0473,                0.57791,                0.56494,                0.54939,                0.34559,                 1.2355,                 1.9284,                 1.0906,               0.009208,               0.009208,               0.009208
                     10,                 1.2437,                0.87786,                 1.0145,                 0.5876,                0.45566,                0.52925,                0.24695,                 1.8438,                 1.7675,                 1.3792,               0.009109,               0.009109,               0.009109
                     11,                 1.1901,                0.82177,                0.98722,                0.78712,                0.52868,                0.62319,                0.34705,                 1.4466,                 1.4923,                 1.1156,                0.00901,                0.00901,                0.00901
                     12,                 1.1563,                0.79227,                 0.9836,                0.76556,                0.66924,                0.76747,                0.44358,                 1.4433,                 1.4592,                 1.0933,               0.008911,               0.008911,               0.008911
                     13,                 1.1536,                0.80461,                 0.9634,                0.71701,                0.61979,                0.60782,                0.31452,                 1.5119,                 1.3692,                  1.105,               0.008812,               0.008812,               0.008812
                     14,                 1.1095,                 0.7592,                0.94809,                0.43595,                0.67101,                0.58057,                0.34368,                 1.2338,                 1.1498,                 1.0592,               0.008713,               0.008713,               0.008713
                     15,                 1.0375,                0.69663,                0.93916,                0.58196,                0.78055,                 0.6928,                0.42243,                 1.3372,                 1.5294,                 1.0588,               0.008614,               0.008614,               0.008614
                     16,                 1.0567,                0.69581,                0.92133,                0.73343,                0.73167,                0.73303,                0.44722,                 1.2362,                0.97873,                 1.0343,               0.008515,               0.008515,               0.008515
                     17,                0.98945,                0.66536,                0.90898,                0.72635,                0.73811,                0.75055,                0.49847,                 1.2498,                 1.1496,                  1.019,               0.008416,               0.008416,               0.008416
                     18,                 0.9387,                0.63264,                0.89977,                0.80846,                 0.7013,                0.75263,                0.47495,                 1.1796,                 1.0147,                 1.0136,               0.008317,               0.008317,               0.008317
                     19,                0.91901,                0.60469,                0.89703,                0.73533,                0.70757,                0.71503,                0.40378,                 1.5701,                 2.0771,                 1.0856,               0.008218,               0.008218,               0.008218
                     20,                0.89938,                0.60608,                0.88898,                0.51072,                0.66307,                0.52548,                0.33365,                 1.4364,                  2.231,                 1.2622,               0.008119,               0.008119,               0.008119
                     21,                0.87203,                0.58281,                0.88704,                0.57326,                0.64482,                0.60854,                0.39027,                 1.1593,                 2.1275,                0.99994,                0.00802,                0.00802,                0.00802
                     22,                0.84302,                0.57314,                0.87992,                0.73845,                0.76894,                0.76568,                0.50594,                 1.2178,                 1.3742,                  1.035,               0.007921,               0.007921,               0.007921
                     23,                0.80688,                0.55459,                0.86697,                0.85345,                0.80208,                0.81999,                  0.494,                 1.3629,                0.97698,                 1.0507,               0.007822,               0.007822,               0.007822
                     24,                0.81262,                0.53598,                0.86681,                0.79366,                0.74026,                0.75534,                0.46589,                 1.1232,                0.95398,                0.99025,               0.007723,               0.007723,               0.007723
                     25,                0.75983,                0.50597,                0.85861,                0.76339,                0.72707,                0.78709,                0.51705,                 1.1391,                 1.6027,                 1.0033,               0.007624,               0.007624,               0.007624
                     26,                0.75978,                0.51701,                0.85752,                0.77938,                 0.8424,                0.85496,                0.53594,                 1.1579,                0.89172,                 1.0086,               0.007525,               0.007525,               0.007525
                     27,                0.75326,                0.48334,                0.84986,                0.83668,                0.83198,                0.85003,                0.49991,                 1.2458,                0.83827,                  1.045,               0.007426,               0.007426,               0.007426
                     28,                0.71985,                0.46966,                0.85056,                0.75155,                0.76043,                0.77756,                0.53935,                0.95521,                0.86686,                0.97146,               0.007327,               0.007327,               0.007327
