                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9451,                 4.2165,                 1.5486,                0.55675,                0.64228,                0.56383,                0.32228,                 1.3009,                 1.6821,                 1.1257,               0.070682,              0.0032576,              0.0032576
                      1,                 1.4364,                  2.024,                 1.1101,                0.65302,                0.68615,                0.71149,                0.35133,                 1.5526,                 2.5017,                 1.1026,               0.040617,              0.0065257,              0.0065257
                      2,                 1.6029,                 2.1092,                  1.132,                0.41172,                0.33462,                0.32354,                 0.1069,                 2.5778,                 3.1322,                 2.4009,               0.010485,              0.0097277,              0.0097277
                      3,                 1.7633,                 1.9721,                 1.2467,                0.42469,                0.51082,                0.29611,                0.13516,                 2.0159,                 13.347,                 1.8987,               0.009703,               0.009703,               0.009703
                      4,                  1.589,                 1.8334,                 1.1404,                 0.3026,                0.58076,                0.46498,                0.17004,                 1.9713,                 7.0763,                 1.4844,               0.009703,               0.009703,               0.009703
                      5,                 1.5042,                 1.5103,                 1.1527,                0.32896,                0.50812,                0.36519,                0.19192,                 1.4644,                 3.7483,                 1.2354,               0.009604,               0.009604,               0.009604
                      6,                 1.4516,                 1.2645,                 1.0958,                0.31056,                 0.4026,                0.33838,                0.17786,                 1.7079,                 3.4125,                 1.1314,               0.009505,               0.009505,               0.009505
                      7,                 1.3505,                 1.2553,                 1.0566,                0.53256,                0.45319,                0.44464,                0.25007,                 1.3832,                 2.5154,                 1.1501,               0.009406,               0.009406,               0.009406
                      8,                 1.3521,                 1.1152,                 1.0174,                0.54285,                0.69965,                0.61634,                0.37196,                 1.4829,                 1.4322,                 1.0436,               0.009307,               0.009307,               0.009307
                      9,                  1.272,                  1.012,                 0.9962,                0.78365,                0.39216,                0.54953,                0.32906,                 1.2814,                 1.6817,                 1.0328,               0.009208,               0.009208,               0.009208
                     10,                 1.2129,                0.93281,                0.97984,                0.57536,                0.65925,                0.67888,                 0.4259,                 1.4404,                 2.4038,                 1.0621,               0.009109,               0.009109,               0.009109
                     11,                 1.1886,                0.89091,                0.95672,                0.58291,                0.55187,                0.48804,                0.31744,                 1.0579,                 1.7752,                 1.0177,                0.00901,                0.00901,                0.00901
                     12,                  1.085,                0.85111,                0.94417,                0.58286,                0.72849,                0.66633,                0.42326,                 1.3672,                 1.3815,                 1.0118,               0.008911,               0.008911,               0.008911
